Sample   ,PPC-JTAG(5)  ,PPC-JTAG(4)      ,PPC-JTAG(3)     ,PPC-JTAG(0)    ,PPC-JTAG(1)        
        0,0            ,0                ,0               ,1              ,1                  
        1,1            ,0                ,0               ,1              ,1                  
        2,1            ,0                ,0               ,1              ,1                  
        3,0            ,0                ,0               ,1              ,1                  
        4,0            ,0                ,0               ,1              ,1                  
        5,0            ,0                ,1               ,1              ,1                  
        6,0            ,0                ,0               ,1              ,1                  
        7,0            ,1                ,0               ,1              ,1                  
        8,0            ,0                ,0               ,1              ,1                  
        9,0            ,1                ,0               ,1              ,1                  
       10,0            ,0                ,0               ,1              ,1                  
       11,0            ,1                ,0               ,1              ,1                  
       12,1            ,0                ,0               ,1              ,1                  
       13,1            ,0                ,0               ,1              ,1                  
       14,0            ,0                ,0               ,1              ,1                  
       15,1            ,0                ,0               ,1              ,1                  
       16,0            ,0                ,0               ,1              ,1                  
       17,0            ,0                ,0               ,1              ,1                  
       18,0            ,0                ,1               ,1              ,1                  
       19,0            ,0                ,1               ,1              ,1                  
       20,0            ,1                ,0               ,1              ,1                  
       21,0            ,0                ,0               ,1              ,1                  
       22,0            ,1                ,0               ,1              ,1                  
       23,0            ,0                ,0               ,1              ,1                  
       24,0            ,1                ,0               ,1              ,1                  
       25,0            ,0                ,0               ,1              ,1                  
       26,0            ,0                ,0               ,1              ,1                  
       27,0            ,0                ,0               ,1              ,1                  
       28,0            ,0                ,0               ,1              ,1                  
       29,0            ,0                ,0               ,1              ,1                  
       30,0            ,0                ,0               ,1              ,1                  
       31,0            ,0                ,0               ,1              ,1                  
       32,0            ,0                ,0               ,1              ,1                  
       33,0            ,0                ,0               ,1              ,1                  
       34,0            ,0                ,0               ,1              ,1                  
       35,0            ,0                ,0               ,1              ,1                  
       36,0            ,0                ,0               ,1              ,1                  
       37,0            ,0                ,0               ,1              ,1                  
       38,0            ,0                ,0               ,1              ,1                  
       39,0            ,0                ,0               ,1              ,1                  
       40,0            ,0                ,0               ,1              ,1                  
       41,0            ,0                ,0               ,1              ,1                  
       42,0            ,0                ,0               ,1              ,1                  
       43,0            ,0                ,0               ,1              ,1                  
       44,0            ,0                ,0               ,1              ,1                  
       45,0            ,0                ,0               ,1              ,1                  
       46,0            ,0                ,0               ,1              ,1                  
       47,0            ,0                ,0               ,1              ,1                  
       48,0            ,0                ,0               ,1              ,1                  
       49,0            ,0                ,0               ,1              ,1                  
       50,1            ,0                ,0               ,1              ,1                  
       51,1            ,0                ,0               ,1              ,1                  
       52,0            ,0                ,0               ,1              ,1                  
       53,0            ,0                ,0               ,1              ,1                  
       54,1            ,0                ,0               ,1              ,1                  
       55,1            ,0                ,0               ,1              ,1                  
       56,0            ,0                ,0               ,1              ,1                  
       57,0            ,0                ,0               ,1              ,1                  
       58,0            ,0                ,1               ,1              ,1                  
       59,0            ,0                ,0               ,1              ,1                  
       60,0            ,1                ,0               ,1              ,1                  
       61,0            ,0                ,0               ,1              ,1                  
       62,0            ,1                ,0               ,1              ,1                  
       63,0            ,0                ,0               ,1              ,1                  
       64,0            ,1                ,0               ,1              ,1                  
       65,1            ,0                ,0               ,1              ,1                  
       66,1            ,0                ,0               ,1              ,1                  
       67,0            ,0                ,0               ,1              ,1                  
       68,1            ,0                ,0               ,1              ,1                  
       69,0            ,0                ,0               ,1              ,1                  
       70,0            ,0                ,0               ,1              ,1                  
       71,0            ,0                ,1               ,1              ,1                  
       72,0            ,0                ,1               ,1              ,1                  
       73,0            ,1                ,0               ,1              ,1                  
       74,0            ,0                ,0               ,1              ,1                  
       75,0            ,1                ,0               ,1              ,1                  
       76,0            ,0                ,0               ,1              ,1                  
       77,0            ,1                ,0               ,1              ,1                  
       78,0            ,0                ,0               ,1              ,1                  
       79,0            ,0                ,0               ,1              ,1                  
       80,0            ,0                ,0               ,1              ,1                  
       81,0            ,0                ,0               ,1              ,1                  
       82,0            ,0                ,0               ,1              ,1                  
       83,0            ,0                ,0               ,1              ,1                  
       84,0            ,0                ,0               ,1              ,1                  
       85,0            ,0                ,0               ,1              ,1                  
       86,0            ,0                ,0               ,1              ,1                  
       87,0            ,0                ,0               ,1              ,1                  
       88,0            ,0                ,0               ,1              ,1                  
       89,0            ,0                ,0               ,1              ,1                  
       90,0            ,0                ,0               ,1              ,1                  
       91,0            ,0                ,0               ,1              ,1                  
       92,0            ,0                ,0               ,1              ,1                  
       93,0            ,0                ,0               ,1              ,1                  
       94,0            ,0                ,0               ,1              ,1                  
       95,0            ,0                ,0               ,1              ,1                  
       96,0            ,0                ,0               ,1              ,1                  
       97,0            ,0                ,0               ,1              ,1                  
       98,0            ,0                ,0               ,1              ,1                  
       99,0            ,0                ,0               ,1              ,1                  
      100,0            ,0                ,0               ,1              ,1                  
      101,0            ,0                ,0               ,1              ,1                  
      102,0            ,0                ,0               ,1              ,1                  
      103,1            ,0                ,0               ,1              ,1                  
      104,1            ,0                ,0               ,1              ,1                  
      105,0            ,0                ,0               ,1              ,1                  
      106,0            ,0                ,0               ,1              ,1                  
      107,1            ,0                ,0               ,1              ,1                  
      108,1            ,0                ,0               ,1              ,1                  
      109,0            ,0                ,0               ,1              ,1                  
      110,0            ,0                ,0               ,1              ,1                  
      111,0            ,0                ,1               ,1              ,1                  
      112,0            ,0                ,0               ,1              ,1                  
      113,0            ,1                ,0               ,1              ,1                  
      114,0            ,0                ,0               ,1              ,1                  
      115,0            ,1                ,0               ,1              ,1                  
      116,0            ,0                ,0               ,1              ,1                  
      117,0            ,1                ,0               ,1              ,1                  
      118,1            ,0                ,0               ,1              ,1                  
      119,1            ,0                ,0               ,1              ,1                  
      120,0            ,0                ,0               ,1              ,1                  
      121,1            ,0                ,0               ,1              ,1                  
      122,0            ,0                ,0               ,1              ,1                  
      123,0            ,0                ,0               ,1              ,1                  
      124,0            ,0                ,1               ,1              ,1                  
      125,0            ,0                ,1               ,1              ,1                  
      126,0            ,0                ,0               ,1              ,1                  
      127,0            ,0                ,0               ,1              ,1                  
      128,0            ,0                ,0               ,1              ,1                  
      129,0            ,0                ,0               ,1              ,1                  
      130,0            ,0                ,0               ,1              ,1                  
      131,0            ,0                ,0               ,1              ,1                  
      132,0            ,0                ,0               ,1              ,1                  
      133,0            ,0                ,0               ,1              ,1                  
      134,0            ,0                ,0               ,1              ,1                  
      135,0            ,0                ,0               ,1              ,1                  
      136,0            ,0                ,0               ,1              ,1                  
      137,0            ,0                ,0               ,1              ,1                  
      138,0            ,0                ,0               ,1              ,1                  
      139,0            ,0                ,0               ,1              ,1                  
      140,0            ,0                ,0               ,1              ,1                  
      141,0            ,0                ,0               ,1              ,1                  
      142,0            ,0                ,0               ,1              ,1                  
      143,0            ,0                ,0               ,1              ,1                  
      144,0            ,0                ,0               ,1              ,1                  
      145,0            ,0                ,0               ,1              ,1                  
      146,0            ,0                ,0               ,1              ,1                  
      147,0            ,0                ,0               ,1              ,1                  
      148,0            ,0                ,0               ,1              ,1                  
      149,0            ,0                ,0               ,1              ,1                  
      150,0            ,0                ,0               ,1              ,1                  
      151,0            ,0                ,0               ,1              ,1                  
      152,0            ,0                ,0               ,1              ,1                  
      153,0            ,0                ,0               ,1              ,1                  
      154,0            ,0                ,0               ,1              ,1                  
      155,0            ,0                ,0               ,1              ,1                  
      156,1            ,1                ,0               ,1              ,1                  
      157,1            ,1                ,0               ,1              ,1                  
      158,0            ,1                ,0               ,1              ,1                  
      159,1            ,0                ,0               ,1              ,1                  
      160,0            ,0                ,0               ,1              ,1                  
      161,0            ,0                ,0               ,1              ,1                  
      162,0            ,0                ,0               ,1              ,1                  
      163,0            ,0                ,1               ,1              ,1                  
      164,0            ,0                ,0               ,1              ,1                  
      165,0            ,0                ,0               ,1              ,1                  
      166,0            ,0                ,0               ,1              ,1                  
      167,0            ,0                ,0               ,1              ,1                  
      168,0            ,0                ,0               ,1              ,1                  
      169,0            ,0                ,0               ,1              ,1                  
      170,0            ,0                ,0               ,1              ,1                  
      171,0            ,0                ,0               ,1              ,1                  
      172,0            ,0                ,0               ,1              ,1                  
      173,0            ,0                ,0               ,1              ,1                  
      174,0            ,0                ,0               ,1              ,1                  
      175,0            ,0                ,0               ,1              ,1                  
      176,0            ,0                ,0               ,1              ,1                  
      177,0            ,0                ,0               ,1              ,1                  
      178,0            ,0                ,0               ,1              ,1                  
      179,0            ,0                ,0               ,1              ,1                  
      180,0            ,0                ,0               ,1              ,1                  
      181,0            ,0                ,0               ,1              ,1                  
      182,0            ,0                ,1               ,1              ,1                  
      183,0            ,0                ,0               ,1              ,1                  
      184,0            ,0                ,0               ,1              ,1                  
      185,0            ,0                ,0               ,1              ,1                  
      186,0            ,0                ,0               ,1              ,1                  
      187,0            ,0                ,0               ,1              ,1                  
      188,0            ,0                ,0               ,1              ,1                  
      189,0            ,0                ,0               ,1              ,1                  
      190,0            ,0                ,0               ,1              ,1                  
      191,0            ,0                ,0               ,1              ,1                  
      192,0            ,0                ,0               ,1              ,1                  
      193,0            ,0                ,0               ,1              ,1                  
      194,1            ,0                ,0               ,1              ,1                  
      195,1            ,0                ,0               ,1              ,1                  
      196,0            ,0                ,0               ,1              ,1                  
      197,0            ,0                ,0               ,1              ,1                  
      198,1            ,0                ,0               ,1              ,1                  
      199,1            ,0                ,0               ,1              ,1                  
      200,0            ,0                ,0               ,1              ,1                  
      201,0            ,0                ,0               ,1              ,1                  
      202,0            ,0                ,1               ,1              ,1                  
      203,0            ,0                ,0               ,1              ,1                  
      204,0            ,1                ,0               ,1              ,1                  
      205,0            ,0                ,0               ,1              ,1                  
      206,0            ,1                ,0               ,1              ,1                  
      207,0            ,0                ,0               ,1              ,1                  
      208,0            ,1                ,0               ,1              ,1                  
      209,1            ,0                ,0               ,1              ,1                  
      210,1            ,0                ,0               ,1              ,1                  
      211,0            ,0                ,0               ,1              ,1                  
      212,1            ,0                ,0               ,1              ,1                  
      213,0            ,0                ,0               ,1              ,1                  
      214,0            ,0                ,0               ,1              ,1                  
      215,0            ,0                ,0               ,1              ,1                  
      216,0            ,0                ,1               ,1              ,1                  
      217,0            ,1                ,0               ,1              ,1                  
      218,0            ,0                ,0               ,1              ,1                  
      219,0            ,1                ,0               ,1              ,1                  
      220,0            ,0                ,0               ,1              ,1                  
      221,0            ,1                ,0               ,1              ,1                  
      222,0            ,0                ,0               ,1              ,1                  
      223,0            ,0                ,0               ,1              ,1                  
      224,0            ,0                ,0               ,1              ,1                  
      225,0            ,0                ,0               ,1              ,1                  
      226,0            ,0                ,0               ,1              ,1                  
      227,0            ,0                ,0               ,1              ,1                  
      228,0            ,0                ,0               ,1              ,1                  
      229,0            ,0                ,0               ,1              ,1                  
      230,0            ,0                ,0               ,1              ,1                  
      231,0            ,0                ,0               ,1              ,1                  
      232,0            ,0                ,0               ,1              ,1                  
      233,0            ,0                ,0               ,1              ,1                  
      234,0            ,0                ,0               ,1              ,1                  
      235,0            ,0                ,1               ,1              ,1                  
      236,0            ,0                ,0               ,1              ,1                  
      237,0            ,0                ,0               ,1              ,1                  
      238,0            ,0                ,0               ,1              ,1                  
      239,0            ,0                ,0               ,1              ,1                  
      240,0            ,0                ,0               ,1              ,1                  
      241,0            ,0                ,0               ,1              ,1                  
      242,0            ,0                ,0               ,1              ,1                  
      243,0            ,0                ,0               ,1              ,1                  
      244,0            ,0                ,0               ,1              ,1                  
      245,0            ,0                ,0               ,1              ,1                  
      246,0            ,0                ,0               ,1              ,1                  
      247,1            ,0                ,0               ,1              ,1                  
      248,1            ,0                ,0               ,1              ,1                  
      249,0            ,0                ,0               ,1              ,1                  
      250,0            ,0                ,0               ,1              ,1                  
      251,1            ,0                ,0               ,1              ,1                  
      252,1            ,0                ,0               ,1              ,1                  
      253,0            ,0                ,0               ,1              ,1                  
      254,0            ,0                ,0               ,1              ,1                  
      255,0            ,0                ,1               ,1              ,1                  
      256,0            ,0                ,0               ,1              ,1                  
      257,0            ,1                ,0               ,1              ,1                  
      258,0            ,0                ,0               ,1              ,1                  
      259,0            ,1                ,0               ,1              ,1                  
      260,0            ,0                ,0               ,1              ,1                  
      261,0            ,1                ,0               ,1              ,1                  
      262,1            ,0                ,0               ,1              ,1                  
      263,1            ,0                ,0               ,1              ,1                  
      264,0            ,0                ,0               ,1              ,1                  
      265,1            ,0                ,0               ,1              ,1                  
      266,0            ,0                ,0               ,1              ,1                  
      267,0            ,0                ,0               ,1              ,1                  
      268,0            ,0                ,0               ,1              ,1                  
      269,0            ,0                ,1               ,1              ,1                  
      270,0            ,1                ,0               ,1              ,1                  
      271,0            ,0                ,0               ,1              ,1                  
      272,0            ,1                ,0               ,1              ,1                  
      273,0            ,0                ,0               ,1              ,1                  
      274,0            ,1                ,0               ,1              ,1                  
      275,0            ,0                ,0               ,1              ,1                  
      276,0            ,0                ,0               ,1              ,1                  
      277,0            ,0                ,0               ,1              ,1                  
      278,0            ,0                ,0               ,1              ,1                  
      279,0            ,0                ,0               ,1              ,1                  
      280,0            ,0                ,0               ,1              ,1                  
      281,0            ,0                ,0               ,1              ,1                  
      282,0            ,0                ,0               ,1              ,1                  
      283,0            ,0                ,0               ,1              ,1                  
      284,0            ,0                ,0               ,1              ,1                  
      285,0            ,0                ,0               ,1              ,1                  
      286,0            ,0                ,0               ,1              ,1                  
      287,0            ,0                ,0               ,1              ,1                  
      288,0            ,0                ,1               ,1              ,1                  
      289,0            ,0                ,0               ,1              ,1                  
      290,0            ,0                ,0               ,1              ,1                  
      291,0            ,0                ,0               ,1              ,1                  
      292,0            ,0                ,0               ,1              ,1                  
      293,0            ,0                ,0               ,1              ,1                  
      294,0            ,0                ,0               ,1              ,1                  
      295,0            ,0                ,0               ,1              ,1                  
      296,0            ,0                ,0               ,1              ,1                  
      297,0            ,0                ,0               ,1              ,1                  
      298,0            ,0                ,0               ,1              ,1                  
      299,0            ,0                ,0               ,1              ,1                  
      300,1            ,0                ,0               ,1              ,1                  
      301,1            ,0                ,0               ,1              ,1                  
      302,0            ,0                ,0               ,1              ,1                  
